Length;L;M;S;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;Gender;;;;;;;;;;;;;;
57,5;-0,3833;5,2173;0,09128;4;4,4;4,8;5,2;5,7;6,3;7;Female;;;;;;;;;;;;;;
57,5;-0,3521;5,2721;0,08455;4,1;4,5;4,9;5,3;5,7;6,3;6,9;Male;;;;;;;;;;;;;;
58;-0,3833;5,3507;0,0913;4,1;4,5;4,9;5,4;5,9;6,5;7,1;Female;;;;;;;;;;;;;;
58;-0,3521;5,418;0,0843;4,3;4,6;5;5,4;5,9;6,4;7,1;Male;;;;;;;;;;;;;;
58,5;-0,3833;5,4834;0,09132;4,2;4,6;5;5,5;6;6,6;7,3;Female;;;;;;;;;;;;;;
58,5;-0,3521;5,5632;0,08406;4,4;4,7;5,1;5,6;6,1;6,6;7,2;Male;;;;;;;;;;;;;;
59;-0,3833;5,6151;0,09134;4,3;4,7;5,1;5,6;6,2;6,8;7,5;Female;;;;;;;;;;;;;;
59;-0,3521;5,7074;0,08383;4,5;4,8;5,3;5,7;6,2;6,8;7,4;Male;;;;;;;;;;;;;;
59,5;-0,3833;5,7454;0,09135;4,4;4,8;5,3;5,7;6,3;6,9;7,7;Female;;;;;;;;;;;;;;
59,5;-0,3521;5,8501;0,08362;4,6;5;5,4;5,9;6,4;7;7,6;Male;;;;;;;;;;;;;;
60;-0,3833;5,8742;0,09136;4,5;4,9;5,4;5,9;6,4;7,1;7,8;Female;;;;;;;;;;;;;;
60;-0,3521;5,9907;0,08342;4,7;5,1;5,5;6;6,5;7,1;7,8;Male;;;;;;;;;;;;;;
60,5;-0,3833;6,0014;0,09137;4,6;5;5,5;6;6,6;7,3;8;Female;;;;;;;;;;;;;;
60,5;-0,3521;6,1284;0,08324;4,8;5,2;5,6;6,1;6,7;7,3;8;Male;;;;;;;;;;;;;;
61;-0,3833;6,127;0,09137;4,7;5,1;5,6;6,1;6,7;7,4;8,2;Female;;;;;;;;;;;;;;
61;-0,3521;6,2632;0,08308;4,9;5,3;5,8;6,3;6,8;7,4;8,1;Male;;;;;;;;;;;;;;
61,5;-0,3833;6,2511;0,09136;4,8;5,2;5,7;6,3;6,9;7,6;8,4;Female;;;;;;;;;;;;;;
61,5;-0,3521;6,3954;0,08292;5;5,4;5,9;6,4;7;7,6;8,3;Male;;;;;;;;;;;;;;
62;-0,3833;6,3738;0,09135;4,9;5,3;5,8;6,4;7;7,7;8,5;Female;;;;;;;;;;;;;;
62;-0,3521;6,5251;0,08279;5,1;5,6;6;6,5;7,1;7,7;8,5;Male;;;;;;;;;;;;;;
62,5;-0,3833;6,4948;0,09133;5;5,4;5,9;6,5;7,1;7,8;8,7;Female;;;;;;;;;;;;;;
62,5;-0,3521;6,6527;0,08266;5,2;5,7;6,1;6,7;7,2;7,9;8,6;Male;;;;;;;;;;;;;;
63;-0,3833;6,6144;0,09131;5,1;5,5;6;6,6;7,3;8;8,8;Female;;;;;;;;;;;;;;
63;-0,3521;6,7786;0,08255;5,3;5,8;6,2;6,8;7,4;8;8,8;Male;;;;;;;;;;;;;;
63,5;-0,3833;6,7328;0,09129;5,2;5,6;6,2;6,7;7,4;8,1;9;Female;;;;;;;;;;;;;;
63,5;-0,3521;6,9028;0,08245;5,4;5,9;6,4;6,9;7,5;8,2;8,9;Male;;;;;;;;;;;;;;
64;-0,3833;6,8501;0,09126;5,3;5,7;6,3;6,9;7,5;8,3;9,1;Female;;;;;;;;;;;;;;
64;-0,3521;7,0255;0,08236;5,5;6;6,5;7;7,6;8,3;9,1;Male;;;;;;;;;;;;;;
64,5;-0,3833;6,9662;0,09123;5,4;5,8;6,4;7;7,6;8,4;9,3;Female;;;;;;;;;;;;;;
64,5;-0,3521;7,1467;0,08229;5,6;6,1;6,6;7,1;7,8;8,5;9,3;Male;;;;;;;;;;;;;;
65;-0,3833;7,0812;0,09119;5,5;5,9;6,5;7,1;7,8;8,6;9,5;Female;;;;;;;;;;;;;;
65;-0,3521;7,2666;0,08223;5,7;6,2;6,7;7,3;7,9;8,6;9,4;Male;;;;;;;;;;;;;;
65,5;-0,3833;7,195;0,09115;5,5;6;6,6;7,2;7,9;8,7;9,6;Female;;;;;;;;;;;;;;
65,5;-0,3521;7,3854;0,08218;5,8;6,3;6,8;7,4;8;8,7;9,6;Male;;;;;;;;;;;;;;
66;-0,3833;7,3076;0,0911;5,6;6,1;6,7;7,3;8;8,8;9,8;Female;;;;;;;;;;;;;;
66;-0,3521;7,5034;0,08215;5,9;6,4;6,9;7,5;8,2;8,9;9,7;Male;;;;;;;;;;;;;;
66,5;-0,3833;7,4189;0,09106;5,7;6,2;6,8;7,4;8,1;9;9,9;Female;;;;;;;;;;;;;;
66,5;-0,3521;7,6206;0,08213;6;6,5;7;7,6;8,3;9;9,9;Male;;;;;;;;;;;;;;
67;-0,3833;7,5288;0,09101;5,8;6,3;6,9;7,5;8,3;9,1;10;Female;;;;;;;;;;;;;;
67;-0,3521;7,737;0,08212;6,1;6,6;7,1;7,7;8,4;9,2;10;Male;;;;;;;;;;;;;;
67,5;-0,3833;7,6375;0,09096;5,9;6,4;7;7,6;8,4;9,2;10,2;Female;;;;;;;;;;;;;;
