Length;L;M;S;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;Gender;;;;;;;;;;;;;;
100;-0,3833;15,0267;0,09069;11,6;12,6;13,7;15;16,5;18,1;20;Female;;;;;;;;;;;;;;
100;-0,3521;15,1637;0,08198;12;12,9;14;15,2;16,5;18;19,6;Male;;;;;;;;;;;;;;
100,5;-0,3833;15,1676;0,09083;11,7;12,7;13,9;15,2;16,6;18,3;20,2;Female;;;;;;;;;;;;;;
100,5;-0,3521;15,3018;0,0822;12,1;13;14,1;15,3;16,6;18,1;19,8;Male;;;;;;;;;;;;;;
101;-0,3833;15,3108;0,09096;11,8;12,8;14;15,3;16,8;18,5;20,4;Female;;;;;;;;;;;;;;
101;-0,3521;15,4419;0,08243;12,2;13,2;14,2;15,4;16,8;18,3;20;Male;;;;;;;;;;;;;;
101,5;-0,3833;15,4564;0,0911;11,9;13;14,1;15,5;17;18,7;20,6;Female;;;;;;;;;;;;;;
101,5;-0,3521;15,5838;0,08267;12,3;13,3;14,4;15,6;16,9;18,5;20,2;Male;;;;;;;;;;;;;;
102;-0,3833;15,6046;0,09125;12;13,1;14,3;15,6;17,1;18,9;20,8;Female;;;;;;;;;;;;;;
102;-0,3521;15,7276;0,08292;12,4;13,4;14,5;15,7;17,1;18,7;20,4;Male;;;;;;;;;;;;;;
102,5;-0,3833;15,7553;0,09139;12,1;13,2;14,4;15,8;17,3;19;21;Female;;;;;;;;;;;;;;
102,5;-0,3521;15,8732;0,08317;12,5;13,5;14,6;15,9;17,3;18,8;20,6;Male;;;;;;;;;;;;;;
103;-0,3833;15,9087;0,09155;12,3;13,3;14,5;15,9;17,5;19,2;21,3;Female;;;;;;;;;;;;;;
103;-0,3521;16,0206;0,08343;12,6;13,6;14,8;16;17,4;19;20,8;Male;;;;;;;;;;;;;;
103,5;-0,3833;16,0645;0,0917;12,4;13,5;14,7;16,1;17,6;19,4;21,5;Female;;;;;;;;;;;;;;
103,5;-0,3521;16,1697;0,0837;12,7;13,7;14,9;16,2;17,6;19,2;21;Male;;;;;;;;;;;;;;
104;-0,3833;16,2229;0,09186;12,5;13,6;14,8;16,2;17,8;19,6;21,7;Female;;;;;;;;;;;;;;
104;-0,3521;16,3204;0,08397;12,8;13,9;15;16,3;17,8;19,4;21,2;Male;;;;;;;;;;;;;;
104,5;-0,3833;16,3837;0,09203;12,6;13,7;15;16,4;18;19,8;21,9;Female;;;;;;;;;;;;;;
104,5;-0,3521;16,4728;0,08425;12,9;14;15,2;16,5;17,9;19,6;21,5;Male;;;;;;;;;;;;;;
105;-0,3833;16,547;0,09219;12,7;13,8;15,1;16,5;18,2;20;22,2;Female;;;;;;;;;;;;;;
105;-0,3521;16,6268;0,08453;13;14,1;15,3;16,6;18,1;19,8;21,7;Male;;;;;;;;;;;;;;
105,5;-0,3833;16,7129;0,09236;12,8;14;15,3;16,7;18,4;20,2;22,4;Female;;;;;;;;;;;;;;
105,5;-0,3521;16,7826;0,08481;13,2;14,2;15,4;16,8;18,3;20;21,9;Male;;;;;;;;;;;;;;
106;-0,3833;16,8814;0,09254;13;14,1;15,4;16,9;18,5;20,5;22,6;Female;;;;;;;;;;;;;;
106;-0,3521;16,9401;0,0851;13,3;14,4;15,6;16,9;18,5;20,2;22,1;Male;;;;;;;;;;;;;;
106,5;-0,3833;17,0527;0,09271;13,1;14,3;15,6;17,1;18,7;20,7;22,9;Female;;;;;;;;;;;;;;
106,5;-0,3521;17,0995;0,08539;13,4;14,5;15,7;17,1;18,6;20,4;22,4;Male;;;;;;;;;;;;;;
107;-0,3833;17,2269;0,09289;13,2;14,4;15,7;17,2;18,9;20,9;23,1;Female;;;;;;;;;;;;;;
107;-0,3521;17,2607;0,08568;13,5;14,6;15,9;17,3;18,8;20,6;22,6;Male;;;;;;;;;;;;;;
107,5;-0,3833;17,4039;0,09307;13,3;14,5;15,9;17,4;19,1;21,1;23,4;Female;;;;;;;;;;;;;;
107,5;-0,3521;17,4237;0,08599;13,6;14,7;16;17,4;19;20,8;22,8;Male;;;;;;;;;;;;;;
108;-0,3833;17,5839;0,09326;13,5;14,7;16;17,6;19,3;21,3;23,6;Female;;;;;;;;;;;;;;
108;-0,3521;17,5885;0,08629;13,7;14,9;16,2;17,6;19,2;21;23,1;Male;;;;;;;;;;;;;;
108,5;-0,3833;17,7668;0,09344;13,6;14,8;16,2;17,8;19,5;21,6;23,9;Female;;;;;;;;;;;;;;
108,5;-0,3521;17,7553;0,0866;13,8;15;16,3;17,8;19,4;21,2;23,3;Male;;;;;;;;;;;;;;
109;-0,3833;17,9526;0,09363;13,7;15;16,4;18;19,7;21,8;24,2;Female;;;;;;;;;;;;;;
109;-0,3521;17,9242;0,08691;14;15,1;16,5;17,9;19,6;21,4;23,6;Male;;;;;;;;;;;;;;
109,5;-0,3833;18,1412;0,09382;13,9;15,1;16,5;18,1;20;22;24,4;Female;;;;;;;;;;;;;;
109,5;-0,3521;18,0954;0,08723;14,1;15,3;16,6;18,1;19,8;21,7;23,8;Male;;;;;;;;;;;;;;
110;-0,3833;18,3324;0,09401;14;15,3;16,7;18,3;20,2;22,3;24,7;Female;;;;;;;;;;;;;;
110;-0,3521;18,2689;0,08755;14,2;15,4;16,8;18,3;20;21,9;24,1;Male;;;;;;;;;;;;;;
110,5;-0,3833;18,8015;0,09448;14,4;15,7;17,1;18,8;20,7;22,9;25,4;Female;;;;;;;;;;;;;;
110,5;-0,3521;18,6948;0,08832;14,5;15,8;17,1;18,7;20,4;22,4;24,7;Male;;;;;;;;;;;;;;
111;-0,3833;19,0009;0,09467;14,5;15,8;17,3;19;20,9;23,1;25,7;Female;;;;;;;;;;;;;;
111;-0,3521;18,8759;0,08864;14,6;15,9;17,3;18,9;20,7;22,7;25;Male;;;;;;;;;;;;;;
111,5;-0,3833;19,2024;0,09487;14,7;16;17,5;19,2;21,2;23,4;26;Female;;;;;;;;;;;;;;
111,5;-0,3521;19,059;0,08896;14,8;16;17,5;19,1;20,9;22,9;25,2;Male;;;;;;;;;;;;;;
112;-0,3833;19,406;0,09507;14,8;16,2;17,7;19,4;21,4;23,6;26,2;Female;;;;;;;;;;;;;;
112;-0,3521;19,2439;0,08928;14,9;16,2;17,6;19,2;21,1;23,1;25,5;Male;;;;;;;;;;;;;;
112,5;-0,3833;19,6116;0,09527;15;16,3;17,9;19,6;21,6;23,9;26,5;Female;;;;;;;;;;;;;;
112,5;-0,3521;19,4304;0,0896;15;16,3;17,8;19,4;21,3;23,4;25,8;Male;;;;;;;;;;;;;;
113;-0,3833;19,819;0,09546;15,1;16,5;18;19,8;21,8;24,2;26,8;Female;;;;;;;;;;;;;;
113;-0,3521;19,6185;0,08991;15,2;16,5;18;19,6;21,5;23,6;26;Male;;;;;;;;;;;;;;
113,5;-0,3833;20,028;0,09566;15,3;16,7;18,2;20;22,1;24,4;27,1;Female;;;;;;;;;;;;;;
113,5;-0,3521;19,8081;0,09022;15,3;16,6;18,1;19,8;21,7;23,9;26,3;Male;;;;;;;;;;;;;;
114;-0,3833;20,2385;0,09586;15,4;16,8;18,4;20,2;22,3;24,7;27,4;Female;;;;;;;;;;;;;;
114;-0,3521;19,999;0,09054;15,4;16,8;18,3;20;21,9;24,1;26,6;Male;;;;;;;;;;;;;;
114,5;-0,3833;20,4502;0,09606;15,6;17;18,6;20,5;22,6;25;27,8;Female;;;;;;;;;;;;;;
114,5;-0,3521;20,1912;0,09085;15,6;16,9;18,5;20,2;22,1;24,4;26,9;Male;;;;;;;;;;;;;;
115;-0,3833;20,6629;0,09626;15,7;17,2;18,8;20,7;22,8;25,2;28,1;Female;;;;;;;;;;;;;;
115;-0,3521;20,3846;0,09116;15,7;17,1;18,6;20,4;22,4;24,6;27,2;Male;;;;;;;;;;;;;;
115,5;-0,3833;20,8766;0,09646;15,9;17,3;19;20,9;23;25,5;28,4;Female;;;;;;;;;;;;;;
115,5;-0,3521;20,5789;0,09147;15,8;17,2;18,8;20,6;22,6;24,9;27,5;Male;;;;;;;;;;;;;;
116;-0,3833;21,0909;0,09666;16;17,5;19,2;21,1;23,3;25,8;28,7;Female;;;;;;;;;;;;;;
116;-0,3521;20,7741;0,09177;16;17,4;19;20,8;22,8;25,1;27,8;Male;;;;;;;;;;;;;;
116,5;-0,3833;21,3059;0,09686;16,2;17,7;19,4;21,3;23,5;26,1;29;Female;;;;;;;;;;;;;;
116,5;-0,3521;20,97;0,09208;16,1;17,5;19,2;21;23;25,4;28;Male;;;;;;;;;;;;;;
117;-0,3833;21,5213;0,09707;16,3;17,8;19,6;21,5;23,8;26,3;29,3;Female;;;;;;;;;;;;;;
117;-0,3521;21,1666;0,09239;16,2;17,7;19,3;21,2;23,3;25,6;28,3;Male;;;;;;;;;;;;;;
117,5;-0,3833;21,737;0,09727;16,5;18;19,8;21,7;24;26,6;29,6;Female;;;;;;;;;;;;;;
117,5;-0,3521;21,3636;0,0927;16,4;17,9;19,5;21,4;23,5;25,9;28,6;Male;;;;;;;;;;;;;;
118;-0,3833;21,9529;0,09747;16,6;18,2;19,9;22;24,2;26,9;29,9;Female;;;;;;;;;;;;;;
118;-0,3521;21,5611;0,093;16,5;18;19,7;21,6;23,7;26,1;28,9;Male;;;;;;;;;;;;;;
118,5;-0,3833;22,169;0,09767;16,8;18,4;20,1;22,2;24,5;27,2;30,3;Female;;;;;;;;;;;;;;
118,5;-0,3521;21,7588;0,09331;16,7;18,2;19,9;21,8;23,9;26,4;29,2;Male;;;;;;;;;;;;;;
119;-0,3833;22,3851;0,09788;16,9;18,5;20,3;22,4;24,7;27,4;30,6;Female;;;;;;;;;;;;;;
119;-0,3521;21,9568;0,09362;16,8;18,3;20;22;24,1;26,6;29,5;Male;;;;;;;;;;;;;;
119,5;-0,3833;22,6012;0,09808;17,1;18,7;20,5;22,6;25;27,7;30,9;Female;;;;;;;;;;;;;;
119,5;-0,3521;22,1549;0,09393;16,9;18,5;20,2;22,2;24,4;26,9;29,8;Male;;;;;;;;;;;;;;
120;-0,3833;22,8173;0,09828;17,3;18,9;20,7;22,8;25,2;28;31,2;Female;;;;;;;;;;;;;;
120;-0,3521;22,353;0,09424;17,1;18,6;20,4;22,4;24,6;27,2;30,1;Male;;;;;;;;;;;;;;
