jenisKelamin,umur,beratBadan,tinggiBadan
P,30,8.3,80.0
L,23,7.0,68.0
L,32,8.8,83.5
L,59,12.3,92.0
L,48,12.0,95.0
P,21,8.5,72.0
L,47,12.8,96.0
P,31,10.0,81.0
L,28,10.0,76.0
L,37,10.0,84.5
P,30,10.0,82.0
P,53,12.0,89.0
P,56,11.8,96.0
L,48,11.4,93.0
L,34,11.7,91.0
P,56,12.0,90.0
P,14,7.1,77.0
P,42,9.5,87.5
P,29,9.5,86.0
L,28,11.8,88.5
P,35,9.3,78.0
P,30,11.0,83.0
L,34,7.0,80.0
P,37,11.0,86.0
L,53,12.6,94.6
P,57,14.7,95.0
P,49,12.2,95.0
P,47,8.0,84.0
P,29,9.1,84.0
L,43,11.0,92.0
P,50,10.0,89.0
L,48,11.0,93.5
